Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.06756,16.04843,10.3568,14.1028,14.46593,12.509,16.2117,15.66138,NA,NA
Åland Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albania,10.13703,10.58193,9.88692,10.5736,10.70316,11.35797,10.93295,11.17719,NA,NA,NA,NA,NA,12.12391,NA,11.3177,13.59696,12.3908,8.43546,NA
Algeria,NA,NA,NA,NA,NA,NA,NA,NA,11.42835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American Samoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.4891,19.22652,18.95694,19.32306,NA
Angola,5.25508,NA,NA,NA,NA,7.99235,7.45479,NA,NA,NA,8.68477,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anguilla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,NA,NA,11.70154,NA,NA,NA,NA,NA,NA,6.92814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argentina,16.22615,16.35596,16.44221,14.35472,15.1393,15.80317,15.50984,15.10157,15.74784,16.02067,15.04797,15.15856,14.51826,14.45793,13.79933,13.96331,13.35554,13.26392,NA,NA
Armenia,NA,NA,NA,NA,NA,13.64809,13.57852,13.46559,14.26845,13.45122,12.40051,12.59334,12.36897,11.13676,9.36712,10.65636,10.1972,10.40313,NA,NA
Aruba,21.82276,21.32039,19.75715,NA,14.89786,18.90071,NA,20.7888,19.0362,21.53726,22.14366,21.74546,20.63408,21.87459,19.61272,22.85499,21.36655,NA,NA,NA
Australia,13.36016,NA,NA,NA,NA,13.58513,13.1782,13.03027,12.59972,13.42167,14.324,13.485,13.1744,14.04139,13.88379,14.07972,13.77107,NA,NA,NA
Austria,11.03322,10.85632,10.53233,10.73962,9.87333,10.26185,10.37458,10.45229,10.55515,10.58393,10.78913,10.98849,10.70118,10.74029,10.41116,10.69348,10.95385,NA,NA,NA
Azerbaijan,21.11908,20.87755,13.63072,15.17084,14.23504,13.22315,10.10042,9.77937,7.76384,9.34393,8.70084,7.21986,5.64367,6.46413,7.23873,7.6311,8.2069,6.9504,NA,NA
Bahamas,18.92281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bahrain,NA,NA,NA,NA,NA,NA,11.91866,11.02673,10.55867,NA,NA,NA,8.28845,7.21531,8.68403,7.29736,NA,7.18035,NA,NA
Bangladesh,20.49042,18.58478,15.6938,16.68163,15.95312,NA,17.33653,18.1534,17.81619,14.02987,NA,16.79397,15.59324,13.82282,NA,NA,11.41942,18.38782,14.6466,NA
Barbados,22.15035,26.88882,24.72449,17.94845,17.82022,17.50705,NA,16.62288,15.17194,15.54344,17.45378,NA,16.11518,14.84482,17.45106,NA,14.05526,12.87915,NA,NA
Belarus,NA,NA,NA,NA,12.55235,12.62011,12.45032,10.13372,NA,8.44955,11.77813,11.62665,12.7523,12.27399,12.40672,11.46173,12.15878,12.28169,NA,NA
Belgium,NA,NA,NA,NA,NA,11.1742,NA,NA,12.51252,11.84732,12.01315,11.70031,NA,11.89315,12.01019,12.17073,12.32835,NA,NA,NA
Belize,15.61226,18.30537,NA,16.13167,16.24847,NA,NA,NA,18.05774,21.57314,22.3818,NA,NA,22.23905,22.15761,21.61292,20.55235,21.29523,NA,NA
Benin,13.5132,15.31058,14.12908,16.68253,19.21395,18.79039,19.70961,14.94869,19.08858,18.17562,26.14396,NA,25.02131,22.34122,22.22771,17.47952,18.7914,19.87965,17.70918,NA
