Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,2858.12289,8346.07215,NA,NA,NA,NA,NA,NA,NA,NA,551.72194,616.38522,520.88278,710.27415,756.96161,648.13575,818.72146,819.55802,NA,NA
Åland Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albania,119.38226,135.65363,135.5642,176.10185,231.88722,264.23271,283.91473,349.78143,NA,NA,NA,NA,NA,452.19076,NA,391.47894,469.95702,470.2367,371.75218,NA
Algeria,NA,NA,NA,NA,NA,NA,NA,NA,7416.33862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American Samoa,NA,NA,NA,NA,NA,NA,73.58526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,NA,NA,29.14294,NA,44.70104,51.97949,77.59353,83.19016,117.41813,115.48386,102.59765,108.25574,NA,80.00748,100.4487,91.47684,93.70532,96.27938,104.44044,NA
Angola,238.05698,NA,NA,NA,NA,783.82404,1195.05127,NA,NA,NA,2867.05001,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anguilla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,NA,NA,27.65029,NA,NA,NA,NA,NA,NA,30.81738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argentina,13017.42608,12988.10796,3925.90821,4510.26528,5740.82894,7671.26599,9600.44081,12831.34874,17515.3357,18417.09764,21264.88002,28048.96788,29187.28552,30011.42828,28218.33751,34353.38171,30917.83822,35105.55042,NA,NA
Armenia,53.00245,52.31434,50.73568,60.21269,88.94086,132.90199,173.38677,277.93279,370.0048,332.14928,300.86636,318.85246,294.41827,294.7388,260.89353,296.11674,290.87508,312.11636,NA,NA
Aruba,88.32731,91.01066,95.58485,NA,98.24265,109.10885,NA,125.91744,137.24146,148.05363,165.64447,156.02065,165.99487,175.75436,163.30051,174.46398,163.84205,NA,NA,NA
Australia,20310.49425,NA,NA,NA,NA,34048.41377,35439.05361,39762.03188,48881.73679,47186.54409,63611.38338,70873.16659,75282.20355,82430.32112,75792.11971,71792.18446,63788.17877,NA,NA,NA
Austria,10998.76083,11002.52789,11783.00583,14031.68612,15955.22101,16586.65802,17561.04129,20005.55967,22650.51494,22930.87043,22339.75272,24109.4266,22438.1454,23856.38317,24078.26105,20834.1936,21675.65731,NA,NA,NA
