Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,NA,NA,NA,NA,NA,NA,NA,32817,NA,NA,NA,NA,NA,NA,NA,82926,84619,87226,91456,NA
Åland Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albania,22250,22280,NA,22424,NA,NA,NA,NA,24208,24069,24082,23298,23452,23471,23314,23329,24082,24165,24008,NA
Algeria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American Samoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,NA,NA,409,440,460,482,NA,NA,NA,NA,NA,NA,NA,543,499,544,557,546,563,NA
Angola,18848,21818,NA,NA,NA,NA,NA,NA,NA,NA,NA,32279,NA,NA,NA,72859,75997,NA,NA,NA
Anguilla,66,66,82,82,81,82,97,96,NA,NA,NA,124,NA,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,394,NA,NA,NA,NA,NA,NA,NA,NA,678,694,706,723,NA,674,701,NA,813,845,NA
Argentina,311323,223367,229159,241612,254065,256884,272904,285764,323957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Armenia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29311,NA
Aruba,405,427,449,461,479,502,518,543,555,553,532,528,555,NA,NA,NA,NA,NA,NA,NA
Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austria,NA,NA,72392,72629,71954,71135,71548,71710,72856,74202,74576,74754,74426,73036,72563.65,72162.28,72960.55908,73673.57,NA,NA
Azerbaijan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130300,127300,124211,NA
Bahamas,NA,NA,2135,NA,2177,2365,2559,2788,2716,2780,2837,2974,2309,2433,2534,2185,2414,2185,2154,NA
Bahrain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7881,8646,8894,9138,9374,9770,9632,9671,NA
Bangladesh,268774,285109,320779,355594,378276,422578,409262,413746,370800,387273,400052,376914,378049,378209,NA,NA,436223.9744,450665.8182,452193,NA
Barbados,1215,1210,1326,1381,1264,1348,1430,NA,NA,NA,NA,NA,NA,NA,NA,1172,1093,1097,1091,NA
Belarus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85401,80513,77028,77654,77110,75835,NA
Belgium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127706,128413,129222,130790,132043,NA,NA
Belize,996,1066,NA,1220,1528,1558,1741,1796,1835,1895,1947,2060,2142,2116,NA,2322,2230,2401,2413,NA
