Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.98619,63.15682,63.42983,60.93211,61.44657,61.02597,NA,NA,NA,NA
Åland Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.9451,70.84257,77.602,NA,NA
Algeria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American Samoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,NA,NA,NA,NA,NA,NA,32.07594,NA,42.03197,NA,29.27319,29.55488,NA,29.97036,NA,NA,25.37172,25.68992,25.53954,NA
Angola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anguilla,NA,NA,NA,NA,NA,72.39078,NA,65.82715,52.61591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.33702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argentina,NA,57.52982,67.76252,71.59786,66.32158,NA,60.62066,63.5791,62.72946,62.44669,61.74644,NA,66.13151,64.65263,62.32754,60.04322,60.29064,59.95916,NA,NA
Armenia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.09824,43.51666,NA,NA,NA,41.20841,NA,NA
Aruba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.41932,NA,NA,93.09119,93.04869,NA,NA,NA
Australia,48.33002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.18392,46.60214,NA,NA,NA,NA
Austria,59.00241,57.3715,57.31266,58.858,57.63033,49.82917,59.95519,62.6304,63.83534,59.83388,59.60949,58.68516,58.71894,58.69577,59.69076,59.06569,58.05242,NA,NA,NA
Azerbaijan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bahamas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bahrain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.60463,NA,NA,NA,NA,NA,NA,NA
Bangladesh,NA,NA,NA,NA,NA,NA,NA,NA,52.36287,49.48805,NA,80.4895,NA,NA,NA,NA,59.52228,NA,NA,NA
Barbados,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.05609,57.06156,NA,NA
Belarus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.47997,67.01479,NA,NA
Belgium,NA,NA,NA,NA,NA,64.64028,NA,NA,60.15712,63.58452,62.73332,62.97116,NA,60.29914,60.55035,60.6681,59.86688,NA,NA,NA
Belize,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Benin,NA,NA,NA,NA,NA,NA,50.50849,60.79097,67.70284,71.3279,80.82443,NA,57.76094,63.07581,63.40687,60.01242,NA,NA,NA,NA
Bermuda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bhutan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolivia (Plurinational State of),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bosnia and Herzegovina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Botswana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.16554,NA,NA,NA,NA,NA,NA,NA,NA
British Virgin Islands,NA,70.25027,NA,NA,76.24994,84.36731,NA,75.2209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brunei Darussalam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.00029,NA,NA,NA
Bulgaria,NA,44.78684,47.73445,51.15618,NA,47.11936,44.45249,43.66945,41.35888,43.63235,49.44692,52.37887,52.89108,53.37318,NA,NA,NA,NA,NA,NA
Burkina Faso,NA,NA,NA,NA,NA,NA,NA,35.40539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burundi,NA,NA,NA,NA,NA,NA,NA,NA,53.1349,58.13633,59.92278,65.42746,71.08904,NA,NA,NA,NA,NA,NA,NA
Cambodia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.13646,NA,NA,NA,NA,NA,NA,NA
Cameroon,NA,NA,NA,NA,NA,NA,NA,NA,63.69662,58.42413,65.43273,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canada,49.56879,50.20048,48.71747,NA,NA,49.01443,48.6251,48.82977,48.41237,47.49861,47.81892,47.70713,NA,50.10663,NA,NA,NA,NA,NA,NA
Cabo Verde,NA,NA,NA,NA,NA,69.49312,NA,NA,NA,NA,69.99941,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cayman Islands,NA,NA,NA,NA,NA,NA,75.3384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central African Republic,NA,NA,NA,NA,NA,54.2889,NA,50.47263,59.19842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.59759,NA,NA,NA,NA,NA,NA,NA
Channel Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
