Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,6,6,6,6,6,6,6,6,9,9,9,9,9,9,9,9,9,9,9,9
Åland Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albania,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,11,NA
Algeria,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,NA
American Samoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,NA
Angola,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6
Anguilla,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,NA
Antigua and Barbuda,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,NA
Argentina,10,10,10,10,10,10,13,13,13,13,13,13,13,13,13,14,14,14,14,NA
Armenia,10,10,10,10,10,10,10,10,10,10,10,11,12,12,12,12,12,12,12,NA
Aruba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13,13,13,13,13,13,NA
Australia,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,NA
Austria,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,13,13,NA
Azerbaijan,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,NA
Bahamas,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,NA
Bahrain,NA,NA,NA,NA,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA
Bangladesh,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,NA
Barbados,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,NA
Belarus,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA
Belgium,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,NA
Belize,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,NA
Benin,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,NA
Bermuda,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,NA
Bhutan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolivia (Plurinational State of),8,8,8,8,8,8,8,8,8,14,14,14,14,14,14,14,14,14,14,NA
Bosnia and Herzegovina,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA
Botswana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,8,8,8,8,8,8,8,8,8,8,8,8,8,14,14,14,14,14,14,NA
British Virgin Islands,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,NA
Brunei Darussalam,NA,NA,NA,NA,NA,NA,NA,9,9,9,9,9,9,9,9,9,9,9,9,NA
Bulgaria,9,9,9,9,9,9,9,9,9,9,9,11,11,11,11,11,11,11,11,NA
Burkina Faso,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,NA
Burundi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cambodia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameroon,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,NA
Canada,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,NA
Cabo Verde,6,6,6,6,6,6,6,6,6,6,10,10,10,10,10,10,10,10,10,NA
Cayman Islands,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,NA
Central African Republic,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,NA
Chad,6,6,6,6,6,6,10,10,10,10,10,10,10,10,10,10,10,10,10,NA
Channel Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chile,8,8,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,NA
China,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA
"China, Hong Kong Special Administrative Region",9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA
"China, Macao Special Administrative Region",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,NA
Colombia,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,NA
Comoros,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,NA
Congo,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,NA
Cook Islands,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,12,12,12,12,NA
Costa Rica,11,11,11,11,11,11,11,11,11,11,11,13,13,13,13,13,13,13,13,NA
Côte d'Ivoire,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,NA
Croatia,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,NA
Cuba,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA
Curaçao,10,10,10,10,10,10,10,14,14,14,14,14,14,14,14,14,14,14,14,NA
Cyprus,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,NA
Czechia,NA,NA,NA,NA,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA
Democratic People's Republic of Korea,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,NA
Democratic Republic of the Congo,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,NA
Denmark,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,NA
Djibouti,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Dominica,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,NA
Dominican Republic,9,9,9,9,9,9,9,9,9,9,15,15,15,15,15,15,15,15,15,NA
Ecuador,10,10,10,10,10,10,10,10,10,10,15,15,15,15,15,15,15,15,15,15
Egypt,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,12,12,12,12,NA
El Salvador,9,9,9,9,9,9,9,9,9,9,9,9,9,12,12,12,12,12,12,NA
Equatorial Guinea,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,NA
Eritrea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,8,8,8,8,8,8,8,NA
